Address,District,City,Size,Price,Description
Eiranranta 7,Eiranranta,Helsinki,84 m²,1 150 000 €,"
2h,k,rt,s kph,khh,vh,las.parv.
"
Pohjoiskaari 6 a,Lauttasaari,Helsinki,65 m²,429 000 €,"
2h, k, kph, vh
"
Fredrikinkatu 45,Kamppi,Helsinki,35 m²,449 750 €,"
2h + avok
"
Karistimentie 2 F,Myllypuro,Helsinki,"50,5 m²",198 000 €,"
2h+kk+kph+parv  (yj:n muk 2H+KK)
"
Ruusankatu 3 B,Taka-Töölö,Helsinki,"47,5 m²",358 000 €,"
2h + avok + vh + kph (yj mukaan 2h+kk)
"
Vanhaistentie 1 b B30,Kannelmäki,Helsinki,42 m²,235 900 €,"
2H+KT
"
Vanhaistentie 1 b A5,Kannelmäki,Helsinki,"42,5 m²",235 900 €,"
2H+KT
"
Viides Linja 8 C,Kallio,Helsinki,"48,5 m²",359 000 €,"
2h+k
"
Melkonkatu 4 B,Lauttasaari,Helsinki,"37,5 m²",329 000 €,"
2h + kk + kph + VH + las.parveke
"
Vaasankatu 15 C 79,Harju,Helsinki,"59,1 m²",370 000 €,"
2h+kk+kph
"
